Current_Residence,Population,Population_Born_Out_of_State,Percent_Born_Out_of_State,Population_Born_In_State,Percent_Born_In_State,Population_Foreign_Born,Percent_Foreign_Born,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District_of_Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New_Hampshire,New_Jersey,New_Mexico,New_York,North_Carolina,North_Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode_Island,South_Carolina,South_Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West_Virginia,Wisconsin,Wyoming,Puerto_Rico,Foreign_Country
Oregon,4217737,2293894,0.54,1923843,0.46,456274,0.11,8527,18894,42723,15965,589466,41355,10337,2241,5561,20457,10731,22675,58110,54927,21921,24566,20606,7629,11010,5821,9891,19451,43366,38511,3785,24806,29073,16353,23139,4874,20703,15611,60381,13126,14399,38071,23572,1923843,32251,5346,5810,14635,9523,57646,30644,1964,17745,219526,4035,28519,10659,2897,456274
Pennsylvania,12801989,3665161,0.29,9136828,0.71,988354,0.08,15203,5515,13150,6492,99162,15726,43281,57788,27080,78069,39899,8220,4494,61212,30836,10117,9936,17201,13153,11350,207966,58801,46321,12227,8264,19845,3843,6979,3805,8886,436991,5063,558872,57345,4452,145403,10595,9348,9136828,11468,40720,3214,19151,57055,6382,4092,90096,19819,61996,16593,2741,166805,988354
Rhode_Island,1059361,459244,0.43,600117,0.57,158233,0.15,1423,537,611,589,13426,2238,23155,880,1543,6544,3217,658,361,4526,1380,489,909,674,922,4538,2950,95763,4422,1510,413,1823,250,218,588,4906,13433,786,46547,2785,397,4497,1352,824,11740,600117,2234,396,1264,4473,856,2317,4956,1444,645,1415,223,16708,158233
South_Carolina,5148714,2317942,0.45,2830772,0.55,333847,0.06,33279,4621,9859,7416,70887,11967,36407,6473,20837,104079,181254,6906,3191,53426,35431,11370,10335,32682,22684,12855,49063,46231,51683,13880,14646,17591,1874,4607,5164,10458,84665,5553,207486,269444,2792,97757,10592,2678,121354,9576,2830772,4015,39152,54351,5926,4546,86695,11530,39564,17059,1290,14067,333847
South_Dakota,884659,321760,0.36,562899,0.64,40302,0.05,372,1698,4525,1099,16622,10560,698,38,203,2628,2675,754,1547,10103,4089,36121,5164,570,673,189,882,969,4491,51027,725,3874,6677,25756,1057,266,1722,1500,3106,2313,25787,3087,2392,2252,3539,238,841,562899,860,11049,2669,59,3067,6004,300,6880,6615,1007,40302
Tennessee,6829174,2792518,0.41,4036656,0.59,420392,0.06,112082,4376,14174,55294,133151,23388,19642,5121,8664,144747,120553,6300,4241,153230,86724,18363,19052,150758,37995,5123,31653,31099,128119,19245,141661,55258,4514,8574,6601,6838,40491,8802,99831,85861,3326,122113,20484,9801,65951,6919,39179,6745,4036656,102416,7323,3418,98139,21609,33187,28666,1903,7166,420392
Texas,28995881,11755844,0.41,17240037,0.59,5299688,0.18,113605,29336,119348,175951,824156,140581,45292,15395,27434,236079,132663,40618,24035,354184,129543,89708,153649,60948,537440,46213,70440,80278,214323,79746,132419,182254,24575,67119,41224,10821,118479,165335,301719,105723,20902,225801,338054,36817,172799,16110,44227,32172,123846,17240037,51419,5264,119322,100381,30585,104714,21716,102939,5299688
Utah,3205958,1228140,0.38,1977818,0.62,299733,0.09,4142,6065,49860,5265,241392,41099,5455,638,3313,15815,8281,11833,79587,25871,10910,8688,8015,3869,6499,2296,7248,10003,16539,11053,2930,10434,13823,7742,30996,2359,11204,19521,24048,7284,4153,16743,6673,20827,13453,1373,4615,4014,5692,46166,1977818,1671,14045,37037,2040,9490,19390,1977,299733
Vermont,623989,319480,0.51,304509,0.49,35563,0.06,825,1026,1448,556,12194,2214,23139,660,3050,6538,2249,710,702,5812,2159,1498,395,1507,771,6951,3447,46813,2937,1488,704,1867,273,644,519,36934,17143,595,51964,2348,284,6217,839,1464,12505,4199,1004,448,985,4214,695,304509,4471,1888,328,1412,364,443,35563
Virginia,8535519,4313243,0.51,4222276,0.49,1207319,0.14,36796,7286,26514,11294,174049,26224,48041,15771,164880,117153,72872,23034,7195,90697,46632,19300,18434,41381,35452,15295,191346,69947,76193,22187,21572,35795,5863,12526,8232,11199,145135,9862,350520,227661,5850,122067,20680,9220,250872,14441,55831,7367,85756,112908,14464,9350,4222276,31107,109102,29133,3422,33461,1207319
Washington,7614893,4081476,0.54,3533417,0.46,1239301,0.16,14140,45540,55459,16941,668305,65583,19516,4172,10257,62937,34168,50723,107377,93474,34027,35435,36555,13336,25095,9067,23603,44319,72927,64968,13868,42385,73840,31652,28322,7478,37143,20073,103741,30099,36580,58573,30974,292211,58641,6694,13746,18694,19928,119666,50634,4840,39649,3533417,8672,47077,12227,9771,1239301
West_Virginia,1792147,563837,0.31,1228310,0.69,38928,0.02,2607,1298,2384,1706,13000,3643,3172,5005,11229,16131,4240,601,691,10226,5763,742,1927,19195,2683,1421,85811,4299,9617,1390,1214,3296,517,1543,1021,763,11447,877,17581,14439,339,90179,2112,716,54882,1177,5071,287,5859,9308,1437,566,84018,1994,1228310,2455,617,2221,38928
Wisconsin,5822434,1692802,0.29,4129632,0.71,324307,0.06,8351,4987,13433,11760,70392,16579,7867,1567,2676,21141,12041,2722,2870,372025,34735,68697,9390,9930,9934,1807,6301,11370,100832,209987,20528,23265,4059,14168,3905,1268,14053,3853,36631,11000,13421,37990,6433,4880,24311,2689,5232,9838,14948,39115,4961,1752,11645,14352,4765,4129632,3015,23786,324307
Wyoming,578759,329735,0.57,249024,0.43,21436,0.04,2057,1322,5055,1700,29800,32795,689,199,761,3393,1688,1121,10289,8590,4531,7079,5069,1040,1494,369,2395,3448,8359,7362,1092,4456,18498,17493,3359,759,2890,3584,6518,2570,6883,5859,4588,6286,8521,636,836,17934,1576,13265,23279,804,2045,6334,1491,5908,249024,79,21436
Puerto_Rico,3193694,258856,0.08,2934838,0.92,96470,0.03,409,96,209,197,2795,364,4454,257,131,8177,1028,31,69,11134,237,350,85,61,390,0,590,5456,974,311,180,522,0,91,205,0,20531,54,82440,916,255,1852,361,245,7543,0,128,157,1675,3451,0,51,548,681,57,1499,6,2934838,96470
